emojis,unicode,n,name,country,latitude,longitude
IRELAND,1f1ee-1f1ea,4,Ireland,IE,53.41291,-8.24389
UNITED-KINGDOM,1f1ec-1f1e7,3,United Kingdom,GB,55.378051,-3.435973
CANADA,1f1e8-1f1e6,2,Canada,CA,56.130366,-106.346771
BELGIUM,1f1e7-1f1ea,1,Belgium,BE,50.503887,4.469936
FIJI,1f1eb-1f1ef,1,Fiji,FJ,-16.578193,179.414413
FRANCE,1f1eb-1f1f7,1,France,FR,46.227638,2.213749
GREECE,1f1ec-1f1f7,1,Greece,GR,39.074208,21.824312
INDIA,1f1ee-1f1f3,1,India,IN,20.593684,78.96288
JAMAICA,1f1ef-1f1f2,1,Jamaica,JM,18.109581,-77.297508
JAPAN,1f1ef-1f1f5,2,Japan,JP,36.204824,138.252924
NETHERLANDS,1f1f3-1f1f1,1,Netherlands,NL,52.132633,5.291266
NORWAY,1f1f3-1f1f4,1,Norway,NO,60.472024,8.468946
SPAIN,1f1ea-1f1f8,1,Spain,ES,40.463667,-3.74922
