emojis,count
BEACH-WITH-UMBRELLA,9
DESERT-ISLAND,9
LIGHT-SKIN-TONE,9
MUSICAL-NOTES,7
WATER-WAVE,7
SUNRISE,6
PERSON-SURFING,5
BEER-MUG,4
CLINKING-BEER-MUGS,4
GLOBE-SHOWING-AMERICAS,4
HOT-BEVERAGE,4
IRELAND,4
MOVIE-CAMERA,4
PALM-TREE,4
SKULL,4
TROPHY,4
AIRPLANE,3
CAMERA,3
CAMPING,3
FEMALE-SIGN,3
FIRE,3
MAN-AND-WOMAN-HOLDING-HANDS,3
MEDIUM-LIGHT-SKIN-TONE,3
MUSICAL-SCORE,3
RAILWAY-TRACK,3
SHOPPING-BAGS,3
SUN-WITH-FACE,3
TOKYO-TOWER,3
TROPICAL-DRINK,3
TUMBLER-GLASS,3
UNITED-KINGDOM,3
WINE-GLASS,3
ALIEN,2
AMERICAN-FOOTBALL,2
ARTIST-PALETTE,2
BACKHAND-INDEX-POINTING-RIGHT,2
BIRTHDAY-CAKE,2
BLOND-HAIRED-PERSON,2
BOY,2
BUTTERFLY,2
CANADA,2
CASTLE,2
CROSSED-FLAGS,2
ELEPHANT,2
FOLDED-HANDS,2
FORK-AND-KNIFE-WITH-PLATE,2
FRAMED-PICTURE,2
GLOBE-SHOWING-EUROPE-AFRICA,2
GUARD,2
HELICOPTER,2
HIGH-SPEED-TRAIN-WITH-BULLET-NOSE,2
MICROPHONE,2
MILKY-WAY,2
MOTOR-BOAT,2
MOUNTAIN,2
OK-HAND,2
OWL,2
PERSON-BIKING,2
PISTOL,2
RED-PAPER-LANTERN,2
ROCKET,2
SHEEP,2
SUN,2
SUNRISE-OVER-MOUNTAINS,2
VOLCANO,2
WOMAN,2
ZZZ,2
AIRPLANE-DEPARTURE,1
ALIEN-MONSTER,1
AUTOMOBILE,1
BASEBALL,1
BED,1
BELGIUM,1
BENTO-BOX,1
BICYCLE,1
BLUE-HEART,1
BOOKS,1
BOUQUET,1
BRIGHT-BUTTON,1
CHEQUERED-FLAG,1
CHRISTMAS-TREE,1
CITYSCAPE-AT-DUSK,1
CLINKING-GLASSES,1
COCKTAIL-GLASS,1
CONFETTI-BALL,1
COWBOY-HAT-FACE,1
CROISSANT,1
CROWN,1
DEER,1
DESERT,1
DIRECT-HIT,1
DIZZY,1
DIZZY-FACE,1
DOG,1
DOLPHIN,1
DRAGON,1
EGGPLANT,1
ENVELOPE,1
EVERGREEN-TREE,1
EYE,1
EYES,1
FACE-WITH-ROLLING-EYES,1
FAMILY,1
FIJI,1
FIRE-ENGINE,1
FIREWORKS,1
FIVE-O,1
FLAG-IN-HOLE,1
FLEUR-DE-LIS,1
FLUSHED-FACE,1
FRANCE,1
GLOBE-SHOWING-ASIA-AUSTRALIA,1
GREECE,1
GRINNING-FACE-WITH-SMILING-EYES,1
GUITAR,1
HAMBURGER,1
HANDSHAKE,1
HEAR-NO-EVIL-MONKEY,1
HEART-SUIT,1
HIBISCUS,1
HIGH-SPEED-TRAIN,1
HIGH-VOLTAGE,1
HOUSE,1
ICE-HOCKEY,1
ICE-SKATE,1
INDIA,1
JAMAICA,1
JAPAN,1
JAPANESE-CASTLE,1
KISS,1
LEAF-FLUTTERING-IN-WIND,1
LOCOMOTIVE,1
MAN,1
MAN-DANCING,1
MAP-OF-JAPAN,1
MAPLE-LEAF,1
MIDDLE-FINGER,1
MONKEY-FACE,1
MOSQUE,1
MOUNT-FUJI,1
MOUSE-FACE,1
MUSHROOM,1
NATIONAL-PARK,1
NERD-FACE,1
NETHERLANDS,1
NIGHT-WITH-STARS,1
NORWAY,1
OCTOPUS,1
ONCOMING-POLICE-CAR,1
OPEN-BOOK,1
PANDA-FACE,1
PASSENGER-SHIP,1
PEACE-SYMBOL,1
PENGUIN,1
PERSON-GOLFING,1
PERSON-RUNNING,1
PERSON-SWIMMING,1
PERSON-TAKING-BATH,1
PILL,1
PIZZA,1
POULTRY-LEG,1
RAINBOW,1
RAISED-FIST,1
RED-HEART,1
RHINOCEROS,1
RUNNING-SHOE,1
SAXOPHONE,1
SEAT,1
SEE-NO-EVIL-MONKEY,1
SHALLOW-PAN-OF-FOOD,1
SHAMROCK,1
SHEAF-OF-RICE,1
SHIP,1
SHORTCAKE,1
SKIS,1
SLEEPING-FACE,1
SLOT-MACHINE,1
SMILING-CAT-FACE-WITH-HEART-EYES,1
SMILING-FACE-WITH-HEART-EYES,1
SMILING-FACE-WITH-OPEN-MOUTH-,1
SNOW-CAPPED-MOUNTAIN,1
SNOWFLAKE,1
SPAIN,1
SPARKLES,1
SPEAK-NO-EVIL-MONKEY,1
STATUE-OF-LIBERTY,1
STEAMING-BOWL,1
SUN-BEHIND-CLOUD,1
SUNFLOWER,1
SUNGLASSES,1
SUNSET,1
SUSHI,1
SYRINGE,1
TENT,1
TICKET,1
TWO-HEARTS,1
TWO-HUMP-CAMEL,1
VICTORY-HAND,1
WEDDING,1
WOMAN-DANCING,1
WORLD-MAP,1
